"Name","API Name","Memory","vCPUs","Storage","On Demand cost","Reserved cost"
"R3 Memory Optimized Eight Extra Large","r3.8xlarge.search","244 GiB","32 vCPUs","2 x 320 SSD","$3.9200 hourly","unavailable"
"I3 Storage Optimized Eight Extra Large","i3.8xlarge.search","244 GiB","32 vCPUs","4 x 1900 NVMe SSD","$3.9940 hourly","$2.7560 hourly"
"R6G Memory Optimized Eight Extra Large","r6g.8xlarge.search","256 GiB","32 vCPUs","EBS Only","$2.6770 hourly","$1.8470 hourly"
"R6GD Memory Optimized (NVME SSD) Eight Extra Large","r6gd.8xlarge.search","256 GiB","32 vCPUs","1 x 1900 NVMe SSD","$3.0600 hourly","$2.1110 hourly"
"R6G Memory Optimized 12xlarge Extra Large","r6g.12xlarge.search","384 GiB","48 vCPUs","EBS Only","$4.0160 hourly","$2.7710 hourly"
"R5 Memory Optimized 12xlarge Extra Large","r5.12xlarge.search","384 GiB","48 vCPUs","EBS Only","$4.4600 hourly","$3.0770 hourly"
"R6GD Memory Optimized (NVME SSD) 12xlarge Extra Large","r6gd.12xlarge.search","384 GiB","48 vCPUs","2 x 1425 NVMe SSD","$4.5900 hourly","$3.1670 hourly"
"R4 Memory Optimized 16xlarge Extra Large","r4.16xlarge.search","488 GiB","64 vCPUs","EBS Only","$6.2780 hourly","$4.3320 hourly"
"I3 Storage Optimized 16xlarge Extra Large","i3.16xlarge.search","488 GiB","64 vCPUs","8 x 1900 NVMe SSD","$7.9870 hourly","$5.5110 hourly"
"R6GD Memory Optimized (NVME SSD) 16xlarge Extra Large","r6gd.16xlarge.search","512 GiB","64 vCPUs","2 x 1900 NVMe SSD","$6.1190 hourly","$4.2220 hourly"
